,Date,Close_Price,High_Price,Low,Open,Volume,target_next_close,close_lag_1,close_lag_2,close_lag_3,close_lag_5,close_lag_7,close_lag_14,close_lag_21,close_lag_30,open_lag_1,high_lag_1,low_lag_1,open_lag_2,high_lag_2,low_lag_2,open_lag_3,high_lag_3,low_lag_3,open_lag_5,high_lag_5,low_lag_5,daily_return,daily_return_lag1,return_2d,return_3d,return_5d,return_7d,return_14d,price_change_1d,price_change_5d,sma_5,sma_10,sma_20,sma_50,sma_100,ema_5,ema_10,ema_20,sma_5_10_diff,sma_10_20_diff,sma_20_50_diff,price_to_sma_5,price_to_sma_20,price_to_sma_50,volatility_5d,volatility_10d,volatility_20d,hl_range,hl_range_5d_avg,tr,atr_14,rsi_7,rsi_14,macd,macd_signal,macd_histogram,momentum_5,momentum_10,bb_upper,bb_middle,bb_lower,bb_width,bb_position,volume_lag_1,volume_lag_2,volume_lag_3,volume_lag_5,volume_sma_5,volume_sma_20,volume_ratio,price_volume_trend,intraday_range,open_close_diff,is_bullish,gap,high_to_close,low_to_close,day_of_week,month,quarter,day_of_month,week_of_year,day_of_week_sin,day_of_week_cos,month_sin,month_cos,rolling_max_20,rolling_min_20,distance_from_max_20,distance_from_min_20,percentile_rank_20
0,2021-04-01,121.5999984741211,125.4499969482422,120.75,124.9499969482422,23923,122.0999984741211,123.5,122.5999984741211,127.0500030517578,126.5999984741211,127.5999984741211,132.4499969482422,131.14999389648438,127.5999984741211,123.0,124.75,120.5,126.5500030517578,127.0500030517578,122.4499969482422,128.35000610351562,128.39999389648438,126.1999969482422,127.0,127.5500030517578,125.1999969482422,-0.0153846277399101,0.0073409587037547,-0.0279417785634494,-0.0389105058365758,-0.0237154150197628,-0.0507302520667389,-0.0629742250347171,0.9000015258789062,-3.0,125.65,126.43000030517578,128.55500030517578,127.70799942016602,123.54799949645997,125.10777412013567,126.5354149239693,127.83004807234592,-0.7800003051757756,-2.125,0.8470008850097628,-0.0244685240744397,-0.0515930431882608,-0.0472907408767125,0.0195352414643877,0.0244380666999267,0.0191691670871237,0.0352697095435684,0.0257416731653364,4.699996948242202,2.8321451459612104,23.387091812312107,35.88436027320475,-1.0917795951607303,-0.2264165818483709,-0.8653630133123593,-0.0237154150197628,-0.0703801706733093,134.53760002725977,128.55500030517578,122.57240058309178,0.0930745549824113,0.0095733851023212,30040.0,26447.0,14233.0,19492.0,21395.2,8945.8,3.358000402423484,220.52239946078973,0.0345528455284552,0.0040650406504065,1.0,0.0032626552272212,0.0101214574898785,0.0242914979757085,3,4,2,1,13,0.4338837391175582,-0.900968867902419,0.8660254037844387,-0.4999999999999998,133.8000030517578,122.5999984741211,0.0874439784064191,0.0041118421568599,0.1
1,2021-04-05,122.0999984741211,122.9000015258789,120.5500030517578,121.4000015258789,16091,126.8499984741211,121.5999984741211,123.5,122.5999984741211,128.5,126.5,131.4499969482422,128.39999389648438,127.5,124.9499969482422,125.4499969482422,120.75,123.0,124.75,120.5,126.5500030517578,127.0500030517578,122.4499969482422,127.0999984741211,129.60000610351562,127.0999984741211,0.00411184215686,-0.0153846277399101,-0.0081566069530668,-0.0428965324417699,-0.0394944712501088,-0.0470219441359701,-0.0819176951612991,-1.9000015258789065,-5.0,124.65,125.95,128.21500053405762,127.6359994506836,123.70449951171877,123.93851557146417,125.63806647854236,127.23671001537213,-1.2999999999999972,-2.26500053405762,0.579001083374024,-0.0102942467686202,-0.0452173046581333,-0.0427208447674509,0.0197504729254219,0.0200245207793903,0.0189301780757849,0.038923370171778,0.0297723437479394,2.349998474121108,3.1678592136927963,24.57627776161381,32.300184125847764,-1.436270602262354,-0.4683873859311676,-0.9678832163311866,-0.0394944712501088,-0.0379747072295333,134.95913090850382,128.21500053405762,121.47087015961142,0.1052003329774937,0.1022169140501055,23923.0,30040.0,26447.0,16764.0,22281.4,10141.85,2.358839856633652,-368.0464494218711,0.0376150225132784,-0.0268107127326203,0.0,0.0117408659776696,0.0316611720594755,0.0069901191183155,0,4,2,5,14,0.0,1.0,0.8660254037844387,-0.4999999999999998,133.8000030517578,121.5999984741211,0.0519432318319772,0.0431743426470297,0.05
2,2021-04-06,126.8499984741211,127.3000030517578,121.3499984741211,122.5,31610,126.75,122.0999984741211,121.5999984741211,123.5,127.0500030517578,126.5999984741211,133.8000030517578,128.75,133.4499969482422,121.4000015258789,122.9000015258789,120.5500030517578,124.9499969482422,125.4499969482422,120.75,123.0,124.75,120.5,128.35000610351562,128.39999389648438,126.1999969482422,0.0389025393887023,0.00411184215686,-0.0113360447439587,-0.0040783034765333,-0.0498054593453611,-0.034782620757936,-0.07112969715627,0.5,-6.400001525878906,123.36999969482422,125.6150001525879,127.88250045776368,127.54899948120118,123.85599952697754,123.32567653901648,124.9947813868294,126.74749939239584,-2.2450004577636804,-2.2675003051757727,0.3335009765624903,0.0285413097353821,-0.0072198771496859,-0.0059167032572282,0.0170056288264968,0.0201146892720743,0.0189530129027356,0.0194939727468289,0.0297372159378906,5.9500045776367045,3.1500015258789023,30.35714407356369,34.4942146982723,-1.6499171679144808,-0.7046933423278303,-0.9452238255866504,-0.0498054593453611,-0.0267038545684719,135.15091154396424,127.88250045776368,120.6140893715631,0.1136732713261443,0.4364720794020933,16091.0,23923.0,30040.0,14233.0,22146.8,10946.15,1.4700145713333,66.1636521460339,0.0193574830690604,0.0057660373924539,1.0,-0.0016447117660511,0.0065520316278085,0.0126944753622729,1,4,2,6,14,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,133.8000030517578,121.5999984741211,0.0526906045662096,0.0423519867640041,0.1
3,2021-04-07,126.75,128.0,125.4499969482422,126.9000015258789,22703,127.8499984741211,126.8499984741211,122.0999984741211,121.5999984741211,122.5999984741211,128.5,132.85000610351562,129.0500030517578,136.85000610351562,122.5,127.3000030517578,121.3499984741211,121.4000015258789,122.9000015258789,120.5500030517578,124.9499969482422,125.4499969482422,120.75,126.5500030517578,127.0500030517578,122.4499969482422,-0.0007883206568701,0.0389025393887023,0.0431743426470296,0.0271254937175797,-0.0015742193847506,0.0019747235625053,-0.0519432318319772,4.75,-0.2000045776367045,123.32999877929689,125.28999938964844,127.77250022888184,127.60499938964844,124.05599952697754,124.50045051738468,125.3320935845188,126.757261209703,-1.960000610351571,-2.482500839233396,0.1675008392333978,0.0208601879399599,-0.0071671995474869,-0.0072449531550452,0.0276029183797643,0.0205204490102913,0.0210854519250511,0.0490317647503357,0.0360570443214882,2.5500030517577983,3.30357306344168,50.7886432294324,39.32411821965935,-1.4195842245603103,-0.8476715187743264,-0.5719127057859839,-0.0015742193847506,-0.0249808414828868,135.03310112749793,127.77250022888184,120.51189933026576,0.1136488819677161,0.4369310888249054,31610.0,16091.0,23923.0,26447.0,25622.2,12526.65,2.523420068414141,1229.7092700768833,0.0485714659398914,0.0355101916254783,1.0,0.0032760158139042,0.0035475331734316,0.043358297722976,2,4,2,7,14,0.9749279121818236,-0.2225209339563143,0.8660254037844387,-0.4999999999999998,133.8000030517578,121.5999984741211,0.0444693904478842,0.0513980269607497,0.45
4,2021-04-08,127.8499984741211,128.6999969482422,126.75,127.0,28825,127.25,126.75,126.8499984741211,122.0999984741211,123.5,127.0500030517578,126.4000015258789,128.89999389648438,135.64999389648438,126.9000015258789,128.0,125.4499969482422,122.5,127.3000030517578,121.3499984741211,121.4000015258789,122.9000015258789,120.5500030517578,123.0,124.75,120.5,0.0086784889477009,-0.0007883206568701,0.0380835510564274,0.042351986764004,0.0338499313012219,-0.0136186770428015,-0.0459164909541859,-0.0999984741210937,4.150001525878906,124.15999908447266,125.20499954223632,127.6650005340576,127.67499938964843,124.25049949645997,125.25030034492312,125.5898947509699,126.75656966592176,-1.0450004577636631,-2.460000991821289,-0.0099988555908225,0.0225545846785304,0.0020377640976743,0.0008454471945957,0.0199237642596993,0.0196450849014682,0.0210851369826161,0.0203268482565995,0.0326091330938221,1.9499969482421875,3.460715702601836,43.77224334559466,40.37854760521455,-1.2309234295595957,-0.9243219009313804,-0.3066015286282153,0.0338499313012219,-0.0066614301276303,134.91897493292862,127.6650005340576,120.4110261351866,0.1136407687075651,0.5180266122142582,22703.0,31610.0,16091.0,30040.0,24873.4,13661.7,1.661799044042835,-17.897243872922495,0.0200945864546563,-0.0011820451069759,0.0,0.0003941904009404,0.009861932938856,0.0102564343333948,3,4,2,8,14,0.4338837391175582,-0.900968867902419,0.8660254037844387,-0.4999999999999998,133.8000030517578,121.5999984741211,0.0489536838741631,0.0464638289208641,0.45
5,2021-04-09,127.25,128.85000610351562,127.0,127.9000015258789,26961,128.10000610351562,127.8499984741211,126.75,126.8499984741211,121.5999984741211,122.5999984741211,125.4499969482422,129.35000610351562,139.1999969482422,127.0,128.6999969482422,126.75,126.9000015258789,128.0,125.4499969482422,122.5,127.3000030517578,121.3499984741211,124.9499969482422,125.4499969482422,120.75,-0.0046929877300119,0.0086784889477009,0.0078833268587228,0.0470925476810608,0.0352226597094824,0.0062966973880149,0.0114714947052063,1.0999984741210938,4.349998474121094,125.02999877929688,125.33999938964844,127.59000015258788,127.74199935913086,124.43799949645997,126.11686638798912,126.00082270063376,126.86070574289312,-0.3100006103515653,-2.2500007629394503,-0.1519992065429676,0.0086398297672585,-0.0008833055255668,-0.0041243679361233,0.019941202535413,0.0196116821768387,0.0211702154220507,0.0153845913076306,0.0286321094466345,1.850006103515625,3.02857317243303,52.91969034692577,52.751415128483536,-0.9813354819276014,-0.9357246171306246,-0.0456108647969768,0.0352226597094824,0.0106719246966093,134.80151384254117,127.59000015258788,120.3784864626346,0.1130419888914312,0.4918878494111281,28825.0,22703.0,31610.0,23923.0,24630.4,15102.85,1.9085801686436663,250.1574439174795,0.0153543066790723,0.0066929013710322,1.0,0.0019723865877712,0.0066484042570649,0.0086038207841179,4,4,2,9,14,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,133.8000030517578,121.5999984741211,0.0426008730809763,0.0534540107809118,0.65
6,2021-04-12,128.10000610351562,129.10000610351562,125.75,127.0,23948,130.0500030517578,127.25,127.8499984741211,126.75,122.0999984741211,123.5,130.10000610351562,131.8000030517578,136.85000610351562,127.9000015258789,128.85000610351562,127.0,127.0,128.6999969482422,126.75,126.9000015258789,128.0,125.4499969482422,121.4000015258789,122.9000015258789,120.5500030517578,0.0066798122083742,-0.0046929877300119,0.0039447731755424,0.0031533427724912,0.046463828920864,0.0379282347777552,0.0143483706300959,-0.5999984741210938,5.650001525878906,126.15999908447266,125.40499954223633,127.3625,127.77699935913084,124.60949951171877,126.49457759199277,126.22794584597308,126.89778138642713,0.7549995422363338,-1.957500457763672,-0.4144993591308576,0.0058103446106918,0.0075111537403249,0.0018849406243781,0.0173289849389508,0.0197019427020776,0.0206897689321451,0.0145669771930364,0.0237608308508862,3.350006103515625,3.1607164655412885,73.60407231582755,53.461542298805625,-0.8224691849158745,-0.9130735306876746,0.0906043457718001,0.046463828920864,0.0051342933152702,134.29654287602324,127.3625,120.42845712397674,0.1088867268783707,0.5732048627126723,26961.0,28825.0,22703.0,16091.0,25238.0,16450.8,1.6388868626449775,-126.52764218885152,0.0144644728807239,-0.0050821072566397,0.0,0.0003911071752412,0.0125737218350933,0.0019646365422396,0,4,2,12,15,0.0,1.0,0.8660254037844387,-0.4999999999999998,133.8000030517578,121.5999984741211,0.0280269051903488,0.0694901700959728,0.6
7,2021-04-13,130.0500030517578,131.10000610351562,126.8000030517578,128.10000610351562,26333,132.10000610351562,128.10000610351562,127.25,127.8499984741211,126.8499984741211,121.5999984741211,127.5999984741211,132.4499969482422,135.14999389648438,127.0,129.10000610351562,125.75,127.9000015258789,128.85000610351562,127.0,127.0,128.6999969482422,126.75,122.5,127.3000030517578,121.3499984741211,0.0152224578870545,0.0066798122083742,0.0019554762016296,0.0106509357279338,0.0491401122389549,0.0372470129839321,-0.0153727894402148,0.850006103515625,6.000007629394531,127.36000061035156,125.3650001525879,127.14500045776369,127.85899948120117,124.79799957275392,127.02972042916706,126.56832043825352,127.0122789785308,1.9950004577636664,-1.7800003051757756,-0.7139990234374949,0.0160156367300077,0.0234113891084546,0.0160077144306454,0.0171762966339335,0.0191989065340257,0.0207222648188554,0.0266402075826292,0.0251900778180463,4.300003051757827,3.146431514195027,73.46941158702256,45.49549797236924,-0.6208216654961376,-0.8546231576493672,0.2338014921532296,0.0491401122389549,-0.00311279296875,133.66782975054116,127.14500045776369,120.6221711649862,0.1026045738219065,0.734022642274576,23948.0,26961.0,28825.0,31610.0,26809.4,17647.95,1.3569848056006504,159.96814276614683,0.0263780008150836,0.0086614653820127,1.0,-0.0019646365422396,0.0078064008770765,0.0183450897076196,1,4,2,13,15,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,133.8000030517578,121.5999984741211,0.0127055075446043,0.0863487480357916,0.75
8,2021-04-14,132.10000610351562,133.14999389648438,130.1999969482422,130.25,18260,132.6999969482422,130.0500030517578,128.10000610351562,127.25,126.75,122.0999984741211,126.5,131.4499969482422,133.1999969482422,128.10000610351562,131.10000610351562,126.8000030517578,127.0,129.10000610351562,125.75,127.9000015258789,128.85000610351562,127.0,126.9000015258789,128.0,125.4499969482422,0.0157631911084381,0.0152224578870545,0.0220039532554641,0.0172077012428126,0.0252266820349198,0.0694901700959729,0.0192006630637509,1.9499969482421875,3.2000045776367188,128.0000015258789,125.6650001525879,127.07500076293944,128.00099960327148,124.94199958801268,128.03648130336398,127.20135364070885,127.30158603312384,2.335001373291007,-1.4100006103515597,-0.9259988403320278,0.023475658886308,0.0402394294916763,0.0309359302242067,0.0078789019590402,0.0193197278225297,0.0209940920545703,0.0339116951756115,0.0221660639031014,2.9499969482421875,3.2285739353724847,92.89343089665152,55.65820878744085,-0.3002055143474536,-0.7437396289889846,0.443534114641531,0.0252266820349198,0.0236127503182967,133.43122822004128,127.07500076293944,120.71877330583764,0.1000389914450516,0.9248556688369122,26333.0,23948.0,26961.0,22703.0,25754.0,18964.5,1.3885417490574494,400.8529835398055,0.0335675475946742,0.0152224578870544,1.0,0.0,0.0080738410389727,0.0249903877257624,2,4,2,14,15,0.9749279121818236,-0.2225209339563143,0.8660254037844387,-0.4999999999999998,133.8000030517578,121.5999984741211,0.0011291618244755,0.091282883333945,0.85
9,2021-04-15,132.6999969482422,133.0,130.89999389648438,132.0500030517578,16691,129.14999389648438,132.10000610351562,130.0500030517578,128.10000610351562,127.8499984741211,126.8499984741211,126.5999984741211,133.8000030517578,131.14999389648438,130.25,133.14999389648438,130.1999969482422,128.10000610351562,131.10000610351562,126.8000030517578,127.0,129.10000610351562,125.75,127.0,128.6999969482422,126.75,0.004541944110558,0.0157631911084381,0.0312256035083062,0.0381139968842092,0.0422091211322732,0.0819001454083885,0.0442688229526926,2.0500030517578125,5.350006103515625,129.07000274658202,126.61500091552736,126.99000091552736,128.1359997558594,125.10099967956543,129.39098957008122,128.0920177248555,127.7585784207802,2.4550018310546733,-0.375,-1.145998840332041,0.0204552019139994,0.0450258615940566,0.0341172775937757,0.0082945928065287,0.0144091196548235,0.0209027307723746,0.0226574271688722,0.022632179685556,2.100006103515625,3.2750020708356544,93.85967671448869,62.38939068836025,0.1179436283092343,-0.5714029775293408,0.6893466058385751,0.0422091211322732,0.0774878282841073,133.00381403231765,126.99000091552736,120.97618779873704,0.094713175422223,0.977784936478194,18260.0,26333.0,23948.0,28825.0,24865.4,19877.15,0.9186427631727888,287.8358696400792,0.0226487289692298,0.0142035017544385,1.0,0.0015378465478589,0.0079484310708204,0.0143831117902035,3,4,2,15,15,0.4338837391175582,-0.900968867902419,0.8660254037844387,-0.4999999999999998,132.85000610351562,121.5999984741211,0.0267520959562828,0.0620887789235463,0.95
