year,balPayments,expDlr,expWgt,impDlr,impWgt
2024.06,2538644625,10867235786,101865865,8328591161,100856583
2024.07,1368335508,10269538758,107881346,8901203250,96809466
2024.08,2217589516,11060184394,99852626,8842594878,98737612
2024.09,1893092026,12085928098,91844686,10192836072,97378669
2024.10,1228066221,11170806342,92601401,9942740121,103529259
2024.11,929924792,10878880449,94418887,9948955657,97716524
2024.12,1010803387,12278625189,108640822,11267821802,107899784
2025.01,-368657463,9130317058,83030859,9498974521,107289709
2025.02,38529385,9027773067,94540737,8989243682,94198591
2025.03,97284782,10908988258,93887158,10811703476,117409244
2025.04,695814639,10078306973,104337461,9382492334,101147534
2025.05,1659343496,10604452339,87487859,8945108843,93414052
2025.06,1380030627,11334991864,91989035,9954961237,91633469
2025.07,1626552740,11691972602,96913493,10065419862,102593083
2025.08,1839787129,11318366758,84710480,9478579629,101929905
2025.09,1163846417,12456748596,98462924,11292902179,116588519
